system,year,quarter,region,SEX,age_group,OCCUPATION,labor_force_sta,value,unit,source
ในระบบ,2561,ไตรมาสที่ 3,ภาคเหนือ,ชาย,60 ปีขึ้นไป,นายจ้าง,รวม,0.37,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2561,ไตรมาสที่ 3,ภาคเหนือ,ชาย,60 ปีขึ้นไป,ประกอบธุรกิจส่วนตัว,หางานทำ,0.17,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2561,ไตรมาสที่ 3,ภาคเหนือ,ชาย,60 ปีขึ้นไป,ช่วยธุรกิจครัวเรือน,ไม่หางานทำ/พร้อมที่จะทำงาน,0.2,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2561,ไตรมาสที่ 4,ภาคเหนือ,ชาย,60 ปีขึ้นไป,ลูกจ้างรัฐบาล,รวม,1.83,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2561,ไตรมาสที่ 4,ภาคเหนือ,ชาย,60 ปีขึ้นไป,ลูกจ้างเอกชน,หางานทำ,0.11,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2561,ไตรมาสที่ 4,ภาคเหนือ,ชาย,60 ปีขึ้นไป,การรวมกลุ่ม,ไม่หางานทำ/พร้อมที่จะทำงาน,1.72,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2562,ไตรมาสที่ 1,ภาคเหนือ,หญิง,60 ปีขึ้นไป,นายจ้าง,รวม,2.09,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2562,ไตรมาสที่ 1,ภาคเหนือ,หญิง,60 ปีขึ้นไป,ประกอบธุรกิจส่วนตัว,ไม่หางานทำ/พร้อมที่จะทำงาน,2.09,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2562,ไตรมาสที่ 2,ภาคเหนือ,หญิง,60 ปีขึ้นไป,ช่วยธุรกิจครัวเรือน,รวม,1.23,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2562,ไตรมาสที่ 2,ภาคเหนือ,หญิง,60 ปีขึ้นไป,ลูกจ้างรัฐบาล,ไม่หางานทำ/พร้อมที่จะทำงาน,1.23,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2562,ไตรมาสที่ 3,ภาคเหนือ,หญิง,60 ปีขึ้นไป,ลูกจ้างเอกชน,รวม,0.8,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2562,ไตรมาสที่ 3,ภาคเหนือ,หญิง,60 ปีขึ้นไป,การรวมกลุ่ม,ไม่หางานทำ/พร้อมที่จะทำงาน,0.8,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2562,ไตรมาสที่ 4,ภาคเหนือ,ชาย,60 ปีขึ้นไป,นายจ้าง,รวม,2.06,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2562,ไตรมาสที่ 4,ภาคเหนือ,ชาย,60 ปีขึ้นไป,ประกอบธุรกิจส่วนตัว,หางานทำ,0.89,พันคน,สำนักงานสถิติแห่งชาติ
